Datum,PS_COVID_Faelle,UG_PI_COVID_Faelle,OG_PI_COVID_Faelle,PS_COVID_Faelle_ma4,UG_PI_COVID_Faelle_ma4,OG_PI_COVID_Faelle_ma4,PS_7_Tage_R_Wert,UG_PI_7_Tage_R_Wert,OG_PI_7_Tage_R_Wert
2022-02-10,154425,153586,155077,175468,174645,176151,.93,.93,.93
2022-02-11,147321,146663,147978,164427,163664,165068,.93,.93,.93
2022-02-12,146545,145860,147256,154398,153667,155063,.94,.93,.94
2022-02-13,157865,157102,158529,151539,150802,152210,.94,.94,.95
2022-02-14,183132,182302,183825,158716,157981,159397,.96,.96,.97
2022-02-15,184139,183358,184912,167920,167155,168631,.98,.97,.98
2022-02-16,165212,164619,165817,172587,171845,173271,.99,.99,.99
2022-02-17,155790,155004,156461,172068,171321,172754,1,1,1
2022-02-18,153082,152267,153675,164556,163812,165216,1.01,1,1.01
2022-02-19,151205,150579,151865,156322,155617,156954,1.01,1.01,1.01
2022-02-20,158740,158027,159387,154704,153969,155347,1,1,1
2022-02-21,172607,171753,173384,158909,158156,159578,.98,.98,.99
2022-02-22,170106,169549,170668,163165,162477,163826,.96,.96,.97
2022-02-23,148281,147641,148910,162434,161742,163087,.95,.94,.95
2022-02-24,134651,134007,135246,156411,155737,157052,.93,.93,.94
2022-02-25,130097,129343,130743,145784,145135,146391,.93,.93,.93
2022-02-26,131843,131307,132596,136218,135574,136873,.93,.93,.94
2022-02-27,149601,148831,150136,136548,135872,137180,.96,.96,.97
2022-02-28,185510,184568,186352,149263,148512,149957,1.02,1.02,1.02
2022-03-01,205253,204625,206005,168052,167333,168772,1.08,1.08,1.08
2022-03-02,193957,193125,194635,183580,182787,184282,1.13,1.12,1.13
2022-03-03,172203,171528,172864,189231,188461,189964,1.15,1.15,1.16
2022-03-04,173047,172366,173715,186115,185411,186804,1.17,1.16,1.17
2022-03-05,186324,185526,187088,181383,180636,182075,1.17,1.17,1.17
2022-03-06,206437,205593,207662,184503,183753,185332,1.18,1.18,1.19
2022-03-07,246541,245743,247236,203087,202307,203925,1.18,1.18,1.18
2022-03-08,254870,253998,255721,223543,222715,224427,1.16,1.16,1.16
2022-03-09,228675,228049,229506,234131,233346,235031,1.15,1.14,1.15
2022-03-10,220312,219533,221025,237600,236831,238372,1.14,1.14,1.14
2022-03-11,231939,231103,232726,233949,233171,234744,1.13,1.12,1.13
2022-03-12,224659,223677,225616,226396,225590,227218,1.12,1.12,1.13
2022-03-13,243704,242743,244533,230154,229264,230975,1.11,1.11,1.12
2022-03-14,284144,283281,285210,246112,245201,247021,1.09,1.08,1.09
2022-03-15,276554,275706,277248,257265,256352,258152,1.07,1.07,1.07
2022-03-16,241805,240873,242583,261552,260651,262394,1.04,1.04,1.04
2022-03-17,217589,216844,218450,255023,254176,255873,1.01,1.01,1.01
2022-03-18,216763,216068,217578,238178,237373,238965,1,.99,1
2022-03-19,220931,220071,221925,224272,223464,225134,.98,.98,.98
2022-03-20,236259,235459,237089,222886,222111,223760,.96,.96,.97
2022-03-21,248229,247422,248986,230545,229755,231394,.94,.94,.95
2022-03-22,228044,227310,228888,233366,232566,234222,.92,.92,.92
2022-03-23,198183,197379,198917,227679,226892,228470,.9,.9,.9
2022-03-24,174270,173491,174971,212181,211400,212940,.89,.89,.89
2022-03-25,167293,166626,167827,191948,191201,192650,.88,.88,.88
2022-03-26,165077,164317,165851,176206,175453,176891,.86,.86,.86
2022-03-27,170720,170036,171507,169340,168617,170039,.85,.84,.85
2022-03-28,184425,183537,185254,171879,171129,172610,.84,.83,.84
2022-03-29,172259,171445,172965,173120,172334,173894,.83,.83,.83
2022-03-30,143994,143287,144604,167849,167076,168582,.83,.83,.83
2022-03-31,120827,120225,121507,155376,154623,156082,.83,.83,.84
2022-04-01,118080,117331,118564,138790,138072,139410,.84,.84,.84
2022-04-02,123075,122452,123770,126494,125824,127111,.84,.84,.84
2022-04-03,125877,125333,126436,121965,121335,122569,.84,.84,.84
2022-04-04,138169,137666,138680,126300,125695,126862,.84,.84,.84
2022-04-05,132661,132029,133283,129945,129370,130542,.85,.85,.85
2022-04-06,120166,119476,120754,129218,128626,129788,.88,.87,.88
2022-04-07,108329,107839,108806,124831,124252,125381,.9,.9,.9
2022-04-08,102312,101896,102793,115867,115310,116409,.93,.92,.93
2022-04-09,107862,107412,108335,109667,109156,110172,.93,.93,.93
2022-04-10,110201,109485,110786,107176,106658,107680,.93,.93,.94
2022-04-11,128049,127417,128779,112106,111552,112673,.93,.93,.93
2022-04-12,114831,114291,115386,115236,114651,115821,.92,.92,.92
2022-04-13,98358,97775,98939,112860,112242,113472,.92,.91,.92
2022-04-14,88692,88192,89153,107483,106918,108064,.9,.9,.9
2022-04-15,80605,80042,81146,95621,95075,96156,.89,.89,.9
2022-04-16,87033,86658,87555,88672,88166,89198,.9,.9,.9
2022-04-17,94322,93780,94798,87663,87168,88163,.89,.89,.89
2022-04-18,104746,104186,105383,91676,91166,92220,.92,.92,.92
2022-04-19,117808,117172,118429,100977,100449,101541,.96,.96,.97
2022-04-20,109373,108818,109843,106562,105989,107113,.99,.98,.99
2022-04-21,89054,88411,89520,105245,104647,105793,1.02,1.02,1.02
2022-04-22,79757,79191,80273,98998,98398,99516,1.01,1,1.01
2022-04-23,80609,80027,81069,89698,89112,90176,.98,.98,.98
2022-04-24,89349,88749,89855,84692,84094,85179,.97,.97,.97
2022-04-25,94485,93985,95102,86050,85488,86575,.92,.92,.92
2022-04-26,84835,84325,85374,87319,86771,87850,.87,.87,.87
2022-04-27,71211,70770,71635,84970,84457,85491,.84,.83,.84
2022-04-28,60612,60163,61103,77786,77311,78303,.82,.82,.82
2022-04-29,62304,61941,62773,69740,69300,70221,.84,.84,.85
2022-04-30,66924,66477,67343,65263,64838,65713,.87,.87,.87
2022-05-01,70596,70117,71117,65109,64674,65584,.88,.88,.89
2022-05-02,78839,78467,79296,69666,69250,70132,.9,.9,.9
2022-05-03,77811,77433,78183,73542,73123,73985,.91,.91,.92
2022-05-04,65871,65401,66283,73279,72854,73719,.94,.93,.94
2022-05-05,55959,55577,56346,69620,69219,70027,.95,.95,.96
2022-05-06,55248,54930,55629,63722,63335,64110,.94,.94,.95
2022-05-07,56560,56226,56947,58409,58033,58801,.94,.94,.94
2022-05-08,62708,62280,63154,57619,57253,58019,.93,.92,.93
2022-05-09,68378,68017,68867,60723,60363,61149,.91,.91,.91
2022-05-10,63618,63105,64117,62816,62407,63271,.9,.9,.91
2022-05-11,53551,53228,53863,62064,61657,62500,.9,.89,.9
2022-05-12,45695,45328,46045,57810,57419,58223,.89,.89,.9
2022-05-13,44777,44343,45154,51910,51501,52295,.9,.9,.9
2022-05-14,46759,46373,47181,47696,47318,48061,.88,.88,.89
2022-05-15,45098,44770,45479,45582,45203,45964,.85,.85,.86
2022-05-16,46482,46162,46843,45779,45412,46164,.82,.82,.82
2022-05-17,42617,42297,42939,45239,44900,45610,.8,.8,.8
2022-05-18,36737,36370,37091,42734,42400,43088,.8,.8,.8
2022-05-19,31858,31580,32176,39423,39102,39762,.81,.81,.81
2022-05-20,30640,30409,30974,35463,35164,35795,.8,.8,.81
2022-05-21,27768,27498,28029,31751,31464,32067,.79,.79,.8
2022-05-22,28828,28540,29157,29774,29506,30084,.79,.78,.79
2022-05-23,32732,32465,33093,29992,29728,30313,.78,.77,.78
2022-05-24,28929,28644,29194,29564,29287,29868,.79,.79,.79
2022-05-25,25499,25221,25751,28997,28717,29298,.81,.81,.81
2022-05-26,23999,23749,24252,27790,27520,28072,.86,.85,.86
2022-05-27,29947,29649,30267,27093,26816,27366,.93,.93,.94
2022-05-28,33234,32983,33565,28170,27900,28459,1.02,1.02,1.03
2022-05-29,36210,35883,36545,30847,30566,31157,1.1,1.1,1.11
2022-05-30,41033,40801,41333,35106,34829,35427,1.17,1.17,1.17
2022-05-31,41315,41031,41664,37948,37674,38277,1.2,1.2,1.21
2022-06-01,38126,37872,38427,39171,38897,39492,1.21,1.2,1.21
2022-06-02,34209,33877,34499,38671,38395,38981,1.19,1.19,1.2
2022-06-03,36760,36449,37071,37602,37307,37915,1.17,1.16,1.17
2022-06-04,41855,41474,42196,37737,37418,38048,1.15,1.14,1.15
2022-06-05,46179,45861,46492,39751,39415,40064,1.15,1.15,1.16
2022-06-06,54660,54303,55098,44863,44522,45214,1.2,1.19,1.2
2022-06-07,60738,60340,61058,50858,50494,51211,1.24,1.24,1.25
2022-06-08,60566,60177,60917,55536,55170,55891,1.28,1.27,1.28
2022-06-09,56339,55971,56755,58076,57697,58457,1.28,1.28,1.29
2022-06-10,55662,55271,56004,58326,57939,58683,1.26,1.25,1.26
2022-06-11,58531,58167,58918,57775,57396,58148,1.22,1.21,1.22
2022-06-12,61090,60657,61598,57906,57516,58318,1.18,1.18,1.19
2022-06-13,69807,69492,70210,61273,60897,61682,1.14,1.14,1.15
2022-06-14,67936,67555,68326,64341,63968,64763,1.1,1.1,1.11
2022-06-15,63374,62951,63887,65552,65164,66005,1.07,1.07,1.07
2022-06-16,60274,59842,60738,65348,64960,65790,1.06,1.05,1.06
2022-06-17,65806,65459,66137,64348,63952,64772,1.07,1.06,1.07
2022-06-18,70119,69722,70594,64893,64493,65339,1.11,1.11,1.12
2022-06-19,84131,83632,84688,70083,69663,70539,1.16,1.16,1.16
2022-06-20,95274,94638,95649,78833,78362,79267,1.18,1.18,1.18
2022-06-21,89001,88376,89454,84631,84092,85096,1.19,1.18,1.19
2022-06-22,79087,78569,79541,86873,86304,87333,1.16,1.15,1.16
2022-06-23,73851,73339,74386,84303,83730,84757,1.13,1.12,1.13
2022-06-24,79940,79398,80485,80470,79920,80966,1.1,1.1,1.11
2022-06-25,82084,81655,82514,78740,78240,79231,1.08,1.08,1.08
2022-06-26,87852,87424,88328,80932,80454,81428,1.07,1.07,1.07
2022-06-27,103397,102792,104056,88318,87817,88846,1.06,1.06,1.06
2022-06-28,98102,97663,98646,92859,92383,93386,1.05,1.04,1.05
2022-06-29,85107,84648,85573,93615,93132,94150,1.05,1.05,1.05
2022-06-30,79672,79128,80231,91570,91058,92126,1.03,1.03,1.03
2022-07-01,77792,77323,78264,85168,84690,85678,1,1,1.01
2022-07-02,75307,74864,75685,79469,78991,79938,1,1,1
2022-07-03,90396,89940,90864,80792,80314,81261,1,1,1
2022-07-04,109114,108601,109644,88152,87682,88614,1.01,1.01,1.02
2022-07-05,105169,104644,105752,94996,94512,95486,1.03,1.03,1.03
2022-07-06,88942,88532,89441,98405,97929,98925,1.03,1.03,1.03
2022-07-07,80590,80157,81199,95953,95483,96509,1.03,1.03,1.03
2022-07-08,84554,84092,85001,89813,89356,90348,1.04,1.04,1.04
2022-07-09,89821,89368,90321,85977,85537,86490,1.05,1.05,1.05
2022-07-10,98778,98315,99290,88436,87983,88953,1.05,1.05,1.06
2022-07-11,113013,112365,113527,96542,96035,97035,1.05,1.05,1.05
2022-07-12,110421,110053,110887,103008,102525,103506,1.04,1.03,1.04
2022-07-13,95086,94526,95579,104325,103815,104821,1.04,1.03,1.04
2022-07-14,88885,88264,89475,101851,101302,102367,1.03,1.03,1.03
2022-07-15,85918,85518,86395,95078,94590,95584,1.01,1.01,1.01
2022-07-16,81908,81403,82475,87949,87428,88481,.99,.99,1
2022-07-17,93612,93223,94040,87581,87102,88096,.97,.96,.97
2022-07-18,102070,101650,102572,90877,90448,91370,.94,.94,.94
2022-07-19,91997,91480,92527,92397,91939,92903,.93,.92,.93
2022-07-20,79610,79200,80117,91822,91388,92314,.91,.91,.91
2022-07-21,73680,73192,74225,86839,86380,87360,.91,.91,.91
2022-07-22,75151,74774,75537,80109,79661,80601,.92,.91,.92
2022-07-23,70020,69581,70433,74615,74187,75078,.9,.9,.9
2022-07-24,68597,68234,69139,71862,71445,72333,.88,.88,.88
2022-07-25,76764,76417,77175,72633,72251,73071,.86,.86,.86
2022-07-26,70820,70432,71239,71550,71166,71996,.84,.84,.84
2022-07-27,57363,56977,57773,68386,68015,68831,.83,.83,.83
2022-07-28,48400,48128,48710,63337,62988,63724,.82,.82,.82
2022-07-29,47101,46812,47527,55921,55587,56312,.81,.8,.81
2022-07-30,46061,45717,46384,49731,49408,50098,.81,.81,.82
2022-07-31,53919,53629,54224,48870,48571,49211,.82,.82,.82
2022-08-01,60300,59922,60702,51845,51520,52209,.83,.83,.84
2022-08-02,53451,52999,53745,53433,53067,53764,.85,.85,.86
2022-08-03,45120,44707,45412,53197,52814,53521,.86,.86,.87
2022-08-04,40027,39691,40406,49724,49330,50066,.88,.88,.89
2022-08-05,40657,40401,41000,44814,44449,45140,.91,.91,.92
2022-08-06,41771,41407,42073,41894,41551,42223,.92,.91,.92
2022-08-07,43171,42764,43602,41406,41065,41770,.9,.9,.9
2022-08-08,47482,47097,47876,43270,42917,43638,.9,.89,.9
2022-08-09,45718,45336,46079,44535,44151,44907,.89,.89,.89
2022-08-10,40064,39788,40323,44109,43746,44470,.91,.91,.91
2022-08-11,36530,36261,36804,42448,42120,42770,.93,.93,.93
2022-08-12,35530,35221,35859,39461,39151,39766,.93,.93,.93
2022-08-13,34497,34205,34854,36655,36369,36960,.94,.93,.94
2022-08-14,39715,39336,40030,36568,36256,36886,.94,.93,.94
2022-08-15,44857,44510,45226,38650,38318,38992,.94,.93,.94
2022-08-16,40320,39945,40618,39847,39499,40182,.94,.93,.94
2022-08-17,33720,33502,33964,39653,39323,39959,.93,.93,.93
2022-08-18,31074,30751,31399,37493,37177,37801,.92,.92,.93
2022-08-19,31908,31612,32144,34256,33952,34531,.94,.94,.94
2022-08-20,33117,32860,33359,32455,32181,32716,.94,.94,.94
2022-08-21,34292,34033,34667,32598,32314,32892,.93,.92,.93
2022-08-22,36178,35875,36518,33874,33595,34172,.91,.91,.92
2022-08-23,33462,33177,33690,34262,33986,34559,.9,.9,.9
2022-08-24,29080,28806,29445,33253,32972,33580,.91,.9,.91
2022-08-25,27605,27329,27819,31581,31296,31868,.92,.91,.92
2022-08-26,26745,26382,27004,29223,28923,29489,.91,.91,.92
2022-08-27,26064,25781,26324,27374,27074,27648,.91,.91,.91
2022-08-28,29226,28986,29512,27410,27119,27665,.91,.91,.91
2022-08-29,32996,32701,33302,28758,28462,29035,.92,.92,.92
2022-08-30,30669,30404,30936,29739,29468,30018,.94,.93,.94
2022-08-31,26478,26244,26775,29842,29584,30131,.95,.95,.95
2022-09-01,25796,25550,26032,28985,28725,29261,.97,.96,.97
2022-09-02,27127,26871,27401,27518,27267,27786,.99,.99,.99
2022-09-03,28193,27973,28489,26899,26659,27174,1.01,1,1.01
2022-09-04,30207,29967,30460,27831,27590,28096,1.03,1.02,1.03
2022-09-05,34514,34149,34781,30010,29740,30283,1.03,1.03,1.04
2022-09-06,32928,32667,33273,31461,31189,31751,1.04,1.03,1.04
2022-09-07,28969,28706,29227,31655,31372,31935,1.05,1.04,1.05
2022-09-08,28778,28519,29049,31297,31010,31582,1.04,1.04,1.05
2022-09-09,28349,28099,28692,29756,29498,30060,1.04,1.03,1.04
2022-09-10,28819,28461,29059,28729,28446,29006,1.04,1.04,1.05
2022-09-11,34359,34014,34670,30076,29773,30367,1.05,1.05,1.06
2022-09-12,39960,39676,40267,32872,32562,33172,1.07,1.07,1.07
2022-09-13,37719,37384,38051,35214,34883,35512,1.09,1.09,1.09
2022-09-14,33685,33409,33978,36431,36121,36741,1.08,1.08,1.09
2022-09-15,32239,31964,32538,35901,35608,36208,1.09,1.08,1.09
2022-09-16,34437,34186,34753,34520,34236,34830,1.09,1.09,1.1
2022-09-17,35983,35667,36365,34086,33806,34409,1.1,1.1,1.1
2022-09-18,40681,40359,40975,35835,35544,36158,1.12,1.12,1.12
2022-09-19,48670,48388,49025,39943,39650,40279,1.13,1.13,1.14
2022-09-20,47286,46994,47614,43155,42852,43495,1.15,1.14,1.15
2022-09-21,45245,44880,45582,45471,45155,45799,1.17,1.17,1.18
2022-09-22,46535,46242,46837,46934,46626,47264,1.2,1.19,1.2
2022-09-23,50827,50462,51145,47473,47144,47794,1.23,1.23,1.24
2022-09-24,57400,57023,57758,50002,49651,50330,1.28,1.28,1.29
2022-09-25,68649,68197,69160,55853,55481,56225,1.32,1.32,1.33
2022-09-26,79791,79268,80308,64167,63737,64593,1.35,1.34,1.35
2022-09-27,75963,75499,76334,70451,69996,70890,1.33,1.32,1.33
2022-09-28,67479,67024,67850,72971,72497,73413,1.27,1.26,1.27
2022-09-29,61272,60879,61602,71126,70667,71523,1.21,1.21,1.21
2022-09-30,68193,67841,68641,68227,67810,68607,1.17,1.17,1.17
2022-10-01,76345,75879,76854,68322,67905,68737,1.15,1.14,1.15
2022-10-02,83279,82745,83778,72272,71836,72719,1.16,1.16,1.16
2022-10-03,102782,102190,103357,82650,82164,83157,1.2,1.2,1.21
2022-10-04,116957,116376,117448,94841,94297,95359,1.23,1.22,1.23
2022-10-05,102241,101793,102733,101315,100776,101829,1.25,1.25,1.25
2022-10-06,89486,88883,89987,102866,102310,103381,1.23,1.23,1.23
2022-10-07,86662,86111,87074,98836,98291,99310,1.15,1.15,1.15
2022-10-08,79618,79022,79987,89502,88952,89945,1.09,1.09,1.1
2022-10-09,90490,90079,91172,86564,86024,87055,1.05,1.04,1.05
2022-10-10,103873,103336,104406,90161,89637,90660,.98,.98,.98
2022-10-11,90554,90034,91174,91134,90618,91685,.94,.94,.94
2022-10-12,79028,78580,79420,90986,90507,91543,.9,.9,.91
2022-10-13,74470,74064,74936,86981,86503,87484,.89,.89,.89
2022-10-14,78628,78189,79080,80670,80216,81152,.93,.92,.93
2022-10-15,78078,77674,78542,77551,77126,77994,.94,.94,.94
2022-10-16,78852,78473,79371,77507,77100,77982,.94,.94,.94
2022-10-17,87382,86950,87892,80735,80321,81221,.93,.93,.93
2022-10-18,78547,78195,79051,80715,80323,81214,.91,.91,.91
2022-10-19,64245,63823,64742,77257,76860,77764,.89,.89,.89
2022-10-20,52619,52206,52973,70698,70293,71164,.87,.86,.87
2022-10-21,51547,51183,51847,61740,61351,62153,.84,.83,.84
2022-10-22,50495,50183,50798,54726,54348,55090,.82,.82,.82
2022-10-23,56944,56583,57380,52901,52538,53249,.8,.8,.8
2022-10-24,61548,61133,62041,55133,54770,55516,.79,.79,.79
2022-10-25,51622,51138,52010,55152,54759,55557,.79,.79,.79
2022-10-26,40710,40248,41106,52706,52275,53134,.78,.78,.79
2022-10-27,33144,32856,33449,46756,46344,47151,.78,.78,.79
2022-10-28,31835,31537,32153,39328,38944,39679,.79,.79,.79
2022-10-29,31274,31036,31543,34241,33919,34563,.78,.78,.78
2022-10-30,34817,34473,35163,32768,32475,33077,.76,.76,.76
2022-10-31,39482,39169,39781,34352,34053,34660,.77,.77,.77
2022-11-01,39823,39485,40133,36349,36041,36655,.79,.79,.79
2022-11-02,32236,31906,32520,36589,36258,36899,.84,.84,.84
2022-11-03,30007,29673,30305,35387,35058,35685,.89,.89,.89
2022-11-04,26529,26286,26823,32149,31837,32445,.91,.91,.91
2022-11-05,25167,24945,25403,28485,28202,28763,.91,.91,.92
2022-11-06,28500,28265,28765,27551,27292,27824,.9,.89,.9
2022-11-07,32201,31908,32429,28099,27851,28355,.87,.87,.87
2022-11-08,28512,28179,28760,28595,28324,28839,.86,.85,.86
2022-11-09,24847,24639,25106,28515,28248,28765,.85,.85,.85
2022-11-10,22436,22242,22667,26999,26742,27240,.86,.86,.87
2022-11-11,23592,23352,23819,24847,24603,25088,.91,.9,.91
2022-11-12,24055,23773,24323,23732,23501,23978,.92,.92,.93
2022-11-13,25240,24937,25519,23831,23576,24082,.94,.93,.94
2022-11-14,27612,27302,27962,25125,24841,25405,.94,.93,.94
2022-11-15,26151,25897,26416,25765,25477,26055,.93,.93,.94
2022-11-16,22818,22574,23009,25455,25177,25726,.94,.94,.94
2022-11-17,20581,20380,20832,24290,24038,24555,.95,.95,.96
2022-11-18,21321,21098,21521,22718,22487,22944,.95,.94,.95
2022-11-19,21172,20882,21460,21473,21233,21705,.96,.95,.96
2022-11-20,24770,24455,25014,21961,21703,22207,.98,.98,.99
2022-11-21,30271,29955,30546,24384,24097,24635,1,1,1.01
2022-11-22,27395,27150,27649,25902,25610,26167,1.03,1.02,1.03
2022-11-23,23757,23534,23957,26548,26273,26791,1.05,1.04,1.05
2022-11-24,23150,22943,23347,26143,25895,26375,1.05,1.04,1.05
2022-11-25,24531,24235,24802,24708,24465,24938,1.06,1.06,1.07
2022-11-26,24999,24752,25246,24109,23866,24338,1.07,1.07,1.07
2022-11-27,27184,26879,27419,24966,24702,25203,1.06,1.06,1.06
2022-11-28,31093,30805,31485,26952,26668,27238,1.05,1.04,1.05
2022-11-29,28539,28236,28783,27954,27668,28233,1.04,1.03,1.04
2022-11-30,25845,25553,26099,28165,27868,28446,1.04,1.04,1.04
2022-12-01,26266,25927,26595,27936,27630,28241,1.04,1.03,1.04
2022-12-02,24567,24348,24799,26304,26016,26569,1.02,1.02,1.03
2022-12-03,23977,23699,24294,25164,24882,25447,1.02,1.02,1.02
2022-12-04,28746,28338,29053,25889,25578,26185,1.03,1.02,1.03
2022-12-05,35782,35279,36180,28268,27916,28581,1.05,1.05,1.06
2022-12-06,33456,33082,33902,30490,30099,30857,1.08,1.08,1.08
2022-12-07,29775,29276,30136,31940,31494,32318,1.08,1.08,1.09
2022-12-08,28007,27490,28655,31755,31282,32218,1.07,1.07,1.08
2022-12-09,28107,27653,28584,29836,29375,30319,1.08,1.07,1.08
2022-12-10,29738,29325,30079,28906,28436,29364,1.07,1.07,1.08
2022-12-11,32205,31620,32601,29514,29022,29980,1.07,1.06,1.07
2022-12-12,36821,36103,37548,31718,31175,32203,1.05,1.05,1.06
2022-12-13,34558,33934,35174,33330,32745,33851,1.02,1.01,1.03
2022-12-14,28697,28194,29280,33070,32462,33651,1.01,1,1.02
2022-12-15,28438,27590,29092,32128,31455,32774,1,1,1.01
2022-12-16,28627,27790,29418,30080,29377,30741,.99,.99,1
2022-12-17,28335,27550,29133,28524,27781,29231,1.01,1,1.02
2022-12-18,33804,32305,35179,29801,28809,30705,1.02,1.01,1.04
2022-12-19,41004,39069,43109,32943,31678,34210,1.03,1.01,1.05
2022-12-20,35944,33868,38157,34772,33198,36395,1.04,1.02,1.06
2022-12-21,31251,28627,33482,35501,33467,37482,1.02,1,1.05
2022-12-22,25088,22576,28101,33322,31035,35712,.98,.95,1
2022-12-23,23179,20066,25849,28865,26284,31397,.93,.9,.96
2022-12-24,19338,14959,22891,24714,21557,27581,.86,.82,.9
2022-12-25,19727,14105,23904,21833,17926,25186,.81,.76,.85
2022-12-26,27015,18627,37088,22315,16939,27433,,,
